date,tariff_period,total_consumption,avg_consumption,reading_count
2023-11-03,off_peak,657.7556,3.6542,180
2023-11-03,peak,670.8714,6.2118,108
2023-11-04,off_peak,515.3203,2.8629,180
2023-11-04,peak,521.0594,4.8246,108
2023-11-05,off_peak,505.1647,2.8065,180
2023-11-05,peak,528.7526,4.8959,108
2023-11-06,off_peak,654.4952,3.6361,180
2023-11-06,peak,697.1425,6.455,108
2023-11-07,off_peak,659.0957,3.6616,180
2023-11-07,peak,707.2143,6.5483,108
2023-11-08,off_peak,669.1492,3.7175,180
2023-11-08,peak,723.0855,6.6952,108
2023-11-09,off_peak,690.6797,3.8371,180
2023-11-09,peak,767.5803,7.1072,108
2023-11-10,off_peak,660.786,3.671,180
2023-11-10,peak,693.4279,6.4206,108
2023-11-11,off_peak,529.5473,2.9419,180
2023-11-11,peak,542.8861,5.0267,108
2023-11-12,off_peak,514.1574,2.8564,180
2023-11-12,peak,537.765,4.9793,108
2023-11-13,off_peak,728.3319,4.0463,180
2023-11-13,peak,701.7123,6.4973,108
2023-11-14,off_peak,694.176,3.8565,180
2023-11-14,peak,725.8887,6.7212,108
2023-11-15,off_peak,688.338,3.8241,180
2023-11-15,peak,681.3407,6.3087,108
2023-11-16,off_peak,677.0072,3.7612,180
2023-11-16,peak,694.1967,6.4277,108
2023-11-17,off_peak,687.668,3.8204,180
2023-11-17,peak,703.7936,6.5166,108
2023-11-18,off_peak,515.5924,2.8644,180
2023-11-18,peak,545.1891,5.048,108
2023-11-19,off_peak,538.9053,2.9939,180
2023-11-19,peak,529.3147,4.9011,108
2023-11-20,off_peak,675.4735,3.7526,180
2023-11-20,peak,704.8338,6.5262,108
2023-11-21,off_peak,686.3849,3.8132,180
2023-11-21,peak,715.729,6.6271,108
2023-11-22,off_peak,682.7704,3.7932,180
2023-11-22,peak,770.0822,7.1304,108
2023-11-23,off_peak,694.239,3.8569,180
2023-11-23,peak,714.9751,6.6201,108
2023-11-24,off_peak,679.0094,3.7723,180
2023-11-24,peak,739.8959,6.8509,108
2023-11-25,off_peak,531.3768,2.9521,180
2023-11-25,peak,569.1724,5.2701,108
2023-11-26,off_peak,536.8133,2.9823,180
2023-11-26,peak,550.9098,5.101,108
2023-11-27,off_peak,694.1174,3.8562,180
2023-11-27,peak,745.2593,6.9005,108
2023-11-28,off_peak,688.8494,3.8269,180
2023-11-28,peak,709.8847,6.573,108
2023-11-29,off_peak,691.9733,3.8443,180
2023-11-29,peak,751.3063,6.9565,108
2023-11-30,off_peak,714.1621,3.9676,180
2023-11-30,peak,732.2873,6.7804,108
2023-12-01,off_peak,729.0265,4.0501,180
2023-12-01,peak,762.8285,7.0632,108
2023-12-02,off_peak,531.8748,2.9549,180
2023-12-02,peak,576.924,5.3419,108
2023-12-03,off_peak,552.4834,3.0694,180
2023-12-03,peak,564.2156,5.2242,108
2023-12-04,off_peak,712.1424,3.9563,180
2023-12-04,peak,724.4485,6.7079,108
2023-12-05,off_peak,719.8494,3.9992,180
2023-12-05,peak,750.7519,6.9514,108
2023-12-06,off_peak,725.5597,4.0309,180
2023-12-06,peak,748.2243,6.928,108
2023-12-07,off_peak,718.6127,3.9923,180
2023-12-07,peak,767.9395,7.1106,108
2023-12-08,off_peak,723.5826,4.0199,180
2023-12-08,peak,742.6053,6.876,108
2023-12-09,off_peak,548.5461,3.0475,180
2023-12-09,peak,595.3642,5.5126,108
2023-12-10,off_peak,540.2527,3.0014,180
2023-12-10,peak,594.0842,5.5008,108
2023-12-11,off_peak,726.2165,4.0345,180
2023-12-11,peak,766.7054,7.0991,108
2023-12-12,off_peak,728.8659,4.0493,180
2023-12-12,peak,764.1573,7.0755,108
2023-12-13,off_peak,733.5051,4.075,180
2023-12-13,peak,726.2387,6.7244,108
2023-12-14,off_peak,768.5583,4.2698,180
2023-12-14,peak,764.1562,7.0755,108
2023-12-15,off_peak,733.5128,4.0751,180
2023-12-15,peak,757.7135,7.0159,108
2023-12-16,off_peak,574.2391,3.1902,180
2023-12-16,peak,587.1255,5.4363,108
2023-12-17,off_peak,559.8511,3.1103,180
2023-12-17,peak,569.6379,5.2744,108
2023-12-18,off_peak,743.8105,4.1323,180
2023-12-18,peak,746.6683,6.9136,108
2023-12-19,off_peak,751.1534,4.1731,180
2023-12-19,peak,748.7124,6.9325,108
2023-12-20,off_peak,767.9239,4.2662,180
2023-12-20,peak,755.659,6.9968,108
2023-12-21,off_peak,740.3615,4.1131,180
2023-12-21,peak,794.7113,7.3584,108
2023-12-22,off_peak,721.8304,4.0102,180
2023-12-22,peak,789.9042,7.3139,108
2023-12-23,off_peak,591.9954,3.2889,180
2023-12-23,peak,586.0344,5.4262,108
2023-12-24,off_peak,574.225,3.1901,180
2023-12-24,peak,592.6263,5.4873,108
2023-12-25,off_peak,740.2851,4.1127,180
2023-12-25,peak,821.7225,7.6085,108
2023-12-26,off_peak,762.0579,4.2337,180
2023-12-26,peak,761.8926,7.0546,108
2023-12-27,off_peak,733.4806,4.0749,180
2023-12-27,peak,789.0069,7.3056,108
2023-12-28,off_peak,733.467,4.0748,180
2023-12-28,peak,775.7864,7.1832,108
2023-12-29,off_peak,734.5837,4.081,180
2023-12-29,peak,789.5431,7.3106,108
2023-12-30,off_peak,567.6677,3.1537,180
2023-12-30,peak,586.3375,5.4291,108
